sample_id,source,bucket,draft,majority,nex-agi,cohere,dots-studio,current,adjudicated
logchunks__FreeCodeCamp__freecodecamp__566312689,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__soulmachine__leetcode__172062089,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__jgm__pandoc__480326509,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__bitcoin__bitcoin__567200607,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__SwiftyJSON__SwiftyJSON__512286699,logchunks,confirmed,compilation,compilation,compilation,other,compilation,compilation,False
logchunks__vim__vim__557413766,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__ReactiveCocoa__ReactiveCocoa__522129648,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__processone__ejabberd__556990927,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__Microsoft__TypeScript__566234931,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__square__retrofit__456148330,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__bcit-ci__CodeIgniter__496514022,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__postcss__autoprefixer__502902139,logchunks,contested,dependency,other,dependency,other,other,dependency,True
logchunks__dkhamsing__open-source-ios-apps__562459124,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__jwilm__alacritty__564272806,logchunks,confirmed,dependency,dependency,dependency,dependency,dependency,dependency,False
logchunks__jgm__pandoc__483247329,logchunks,confirmed,compilation,compilation,unknown,compilation,compilation,compilation,False
logchunks__ReactiveCocoa__ReactiveCocoa__525349639,logchunks,confirmed,dependency,dependency,dependency,dependency,dependency,dependency,False
logchunks__jashkenas__coffeescript__461415014,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
python__cpython__34788896959,github-actions,contested,test_assertion,infrastructure,test_assertion,infrastructure,infrastructure,infrastructure,True
dotnet__aspire__34787419768,github-actions,confirmed,other,other,other,other,infrastructure,other,False
logchunks__FreeCodeCamp__freecodecamp__566340191,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__google__material-design-icons__96448414,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__sjdy521__Mojo-Webqq__341246416,logchunks,confirmed,infrastructure,infrastructure,test_assertion,infrastructure,infrastructure,infrastructure,False
logchunks__jwilm__alacritty__564527447,logchunks,contested,dependency,compilation,compilation,compilation,compilation,compilation,True
logchunks__mhinz__vim-galore__403259414,logchunks,confirmed,other,other,other,other,other,other,False
microsoft__TypeScript__34290086503,github-actions,confirmed,other,other,other,other,other,other,False
logchunks__ReactiveX__RxJava__561008032,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
python__cpython__34098372849,github-actions,confirmed,other,other,other,other,other,other,False
python__cpython__34756422579,github-actions,confirmed,infrastructure,infrastructure,unknown,infrastructure,infrastructure,infrastructure,False
logchunks__mhinz__vim-galore__430784580,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__postcss__autoprefixer__468714887,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__powershell__PowerShell__535987243,logchunks,confirmed,dependency,dependency,dependency,dependency,dependency,dependency,False
microsoft__vscode__31971380461,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__postcss__autoprefixer__460085832,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__sjdy521__Mojo-Webqq__367594706,logchunks,confirmed,infrastructure,infrastructure,test_assertion,infrastructure,infrastructure,infrastructure,False
microsoft__vscode__34697884669,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__scala__scala__566866822,logchunks,contested,other,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,True
logchunks__bcit-ci__CodeIgniter__523684642,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
microsoft__vscode__31854040716,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__Microsoft__TypeScript__566591714,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__vim__vim__555378073,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
grafana__grafana__33230254939,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__vim__vim__557005417,logchunks,split,test_assertion,,test_assertion,infrastructure,unknown,test_assertion,True
grafana__grafana__33189617225,github-actions,confirmed,authentication,authentication,authentication,authentication,authentication,authentication,False
python__cpython__34778527572,github-actions,confirmed,other,other,other,other,other,other,False
python__cpython__33789566126,github-actions,contested,test_assertion,compilation,test_assertion,compilation,compilation,test_assertion,True
logchunks__vim__vim__557328684,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__scala__scala__566726054,logchunks,contested,test_assertion,compilation,compilation,compilation,compilation,compilation,True
grafana__grafana__33189616835,github-actions,confirmed,authentication,authentication,authentication,authentication,authentication,authentication,False
logchunks__Microsoft__TypeScript__567134594,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__square__retrofit__553410971,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
microsoft__vscode__31959446031,github-actions,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
logchunks__powershell__PowerShell__536509309,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__dkhamsing__open-source-ios-apps__562461458,logchunks,confirmed,other,other,other,test_assertion,other,other,False
logchunks__jwilm__alacritty__563821312,logchunks,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
logchunks__mhinz__vim-galore__443978045,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__bitcoin__bitcoin__567144565,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__ReactiveCocoa__ReactiveCocoa__530618863,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__jwilm__alacritty__579346432,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
grafana__grafana__33230254850,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__vim__vim__557480996,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
microsoft__vscode__31958099696,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,other,test_assertion,False
logchunks__bcit-ci__CodeIgniter__532942148,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__jlord__git-it-electron__496567160,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__mhinz__vim-galore__374779992,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__jwilm__alacritty__562114003,logchunks,confirmed,test_assertion,test_assertion,test_assertion,unknown,test_assertion,test_assertion,False
grafana__grafana__33189635387,github-actions,confirmed,authentication,authentication,authentication,authentication,authentication,authentication,False
logchunks__jashkenas__coffeescript__429651194,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__FreeCodeCamp__freecodecamp__565987238,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__bitcoin__bitcoin__567143552,logchunks,confirmed,other,other,other,other,unknown,other,False
logchunks__jgm__pandoc__480080048,logchunks,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
logchunks__jgm__pandoc__481351360,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__jlord__git-it-electron__295480897,logchunks,confirmed,other,other,other,other,other,other,False
microsoft__vscode__31833415486,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
microsoft__vscode__31973112831,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
microsoft__vscode__31821965820,github-actions,contested,dependency,authentication,authentication,authentication,authentication,dependency,False
logchunks__jashkenas__coffeescript__420204574,logchunks,split,test_assertion,,test_assertion,other,unknown,test_assertion,False
logchunks__ReactiveX__RxJava__561016934,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__jashkenas__coffeescript__450920846,logchunks,confirmed,test_assertion,test_assertion,unknown,test_assertion,test_assertion,test_assertion,False
python__cpython__34801485433,github-actions,confirmed,other,other,other,other,other,other,False
logchunks__jashkenas__coffeescript__530674905,logchunks,contested,compilation,test_assertion,compilation,test_assertion,test_assertion,compilation,False
dotnet__aspire__34789294292,github-actions,confirmed,other,other,other,other,unknown,other,False
logchunks__bitcoin__bitcoin__567118690,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__FreeCodeCamp__freecodecamp__566116668,logchunks,contested,other,test_assertion,test_assertion,test_assertion,test_assertion,other,False
microsoft__vscode__31848569017,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
python__cpython__34490228347,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,unknown,test_assertion,False
logchunks__jlord__git-it-electron__506436018,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__vim__vim__557785733,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,unknown,test_assertion,False
microsoft__vscode__34508235056,github-actions,confirmed,dependency,dependency,dependency,dependency,dependency,dependency,False
logchunks__scala__scala__566805126,logchunks,contested,other,test_assertion,test_assertion,compilation,test_assertion,other,False
logchunks__vim__vim__555392625,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__jwilm__alacritty__566679217,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
microsoft__vscode__31954973692,github-actions,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
logchunks__bitcoin__bitcoin__567119401,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__jlord__git-it-electron__189032546,logchunks,contested,dependency,other,other,other,other,dependency,False
logchunks__square__retrofit__482520685,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__bcit-ci__CodeIgniter__476896825,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__ReactiveX__RxJava__565371172,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__jashkenas__coffeescript__460615864,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__BurntSushi__ripgrep__524197508,logchunks,contested,dependency,compilation,compilation,compilation,dependency,dependency,False
logchunks__jwilm__alacritty__565672174,logchunks,contested,dependency,compilation,compilation,compilation,compilation,dependency,False
logchunks__square__retrofit__484944937,logchunks,confirmed,dependency,dependency,dependency,dependency,dependency,dependency,False
logchunks__ReactiveCocoa__ReactiveCocoa__546036140,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__jlord__git-it-electron__356703873,logchunks,confirmed,other,other,other,other,other,other,False
microsoft__vscode__31801400244,github-actions,contested,dependency,compilation,compilation,compilation,compilation,dependency,False
logchunks__jashkenas__coffeescript__507400442,logchunks,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
microsoft__TypeScript__32991948166,github-actions,confirmed,infrastructure,infrastructure,infrastructure,dependency,infrastructure,infrastructure,False
logchunks__ReactiveX__RxJava__564360281,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
microsoft__vscode__31790622084,github-actions,split,infrastructure,,infrastructure,unknown,unknown,infrastructure,False
logchunks__FreeCodeCamp__freecodecamp__564792682,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__Microsoft__TypeScript__566744351,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
python__cpython__34794391266,github-actions,confirmed,other,other,other,other,other,other,False
logchunks__square__retrofit__484991823,logchunks,confirmed,dependency,dependency,dependency,dependency,dependency,dependency,False
logchunks__jgm__pandoc__479984913,logchunks,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
logchunks__postcss__autoprefixer__460092373,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
python__cpython__34776933625,github-actions,confirmed,other,other,other,other,other,other,False
logchunks__bitcoin__bitcoin__567191495,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__scala__scala__567174876,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__FreeCodeCamp__freecodecamp__566207163,logchunks,contested,other,test_assertion,test_assertion,test_assertion,test_assertion,other,False
logchunks__SwiftyJSON__SwiftyJSON__347096816,logchunks,confirmed,dependency,dependency,dependency,dependency,infrastructure,dependency,False
logchunks__square__retrofit__457858424,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__ReactiveCocoa__ReactiveCocoa__567093056,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
python__cpython__34801049533,github-actions,confirmed,other,other,other,other,other,other,False
python__cpython__34748925258,github-actions,split,infrastructure,,unknown,unknown,infrastructure,infrastructure,False
logchunks__processone__ejabberd__554568247,logchunks,split,test_assertion,,test_assertion,unknown,unknown,test_assertion,False
logchunks__postcss__autoprefixer__554480449,logchunks,confirmed,other,other,other,other,other,other,False
python__cpython__33986657598,github-actions,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
logchunks__ReactiveCocoa__ReactiveCocoa__522357694,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__ReactiveX__RxJava__562514757,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__dkhamsing__open-source-ios-apps__562475335,logchunks,contested,other,infrastructure,infrastructure,infrastructure,infrastructure,other,False
logchunks__ReactiveCocoa__ReactiveCocoa__567078868,logchunks,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
python__cpython__34758328948,github-actions,split,infrastructure,,unknown,unknown,unknown,infrastructure,False
logchunks__processone__ejabberd__555654050,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
python__cpython__34746973250,github-actions,split,infrastructure,,unknown,unknown,infrastructure,infrastructure,False
python__cpython__34746973474,github-actions,split,infrastructure,,unknown,unknown,unknown,infrastructure,False
logchunks__ReactiveX__RxJava__565360975,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__jashkenas__coffeescript__534448088,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__Microsoft__TypeScript__567323035,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__BurntSushi__ripgrep__524438701,logchunks,split,dependency,,compilation,unknown,dependency,dependency,False
python__cpython__34788896609,github-actions,confirmed,other,other,other,other,other,other,False
logchunks__scala__scala__567184269,logchunks,contested,other,test_assertion,test_assertion,test_assertion,test_assertion,other,False
logchunks__square__retrofit__403602199,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__jwilm__alacritty__564632044,logchunks,split,infrastructure,,dependency,unknown,infrastructure,infrastructure,False
grafana__grafana__33189617945,github-actions,confirmed,authentication,authentication,authentication,authentication,authentication,authentication,False
logchunks__vim__vim__557500309,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,unknown,test_assertion,False
logchunks__vim__vim__556831164,logchunks,split,test_assertion,,unknown,infrastructure,unknown,test_assertion,False
microsoft__vscode__31826492595,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__BurntSushi__ripgrep__524343295,logchunks,contested,dependency,compilation,compilation,compilation,dependency,dependency,False
logchunks__square__retrofit__485715287,logchunks,confirmed,dependency,dependency,unknown,dependency,dependency,dependency,False
grafana__grafana__33189617482,github-actions,confirmed,authentication,authentication,authentication,authentication,authentication,authentication,False
microsoft__vscode__31728854334,github-actions,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
python__cpython__34776123681,github-actions,confirmed,other,other,other,other,other,other,False
logchunks__ReactiveX__RxJava__565366738,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
python__cpython__34115243281,github-actions,confirmed,infrastructure,infrastructure,infrastructure,infrastructure,infrastructure,infrastructure,False
logchunks__scala__scala__567103817,logchunks,confirmed,dependency,dependency,compilation,dependency,dependency,dependency,False
microsoft__vscode__34235077561,github-actions,confirmed,dependency,dependency,dependency,dependency,dependency,dependency,False
grafana__grafana__33201090687,github-actions,confirmed,test_assertion,test_assertion,unknown,test_assertion,test_assertion,test_assertion,False
logchunks__ReactiveCocoa__ReactiveCocoa__522133183,logchunks,confirmed,dependency,dependency,dependency,dependency,dependency,dependency,False
python__cpython__34748927069,github-actions,split,infrastructure,,unknown,unknown,infrastructure,infrastructure,False
logchunks__square__retrofit__494086613,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
dotnet__aspire__34767579964,github-actions,confirmed,dependency,dependency,dependency,dependency,unknown,dependency,False
microsoft__vscode__31975340271,github-actions,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
python__cpython__34752783005,github-actions,contested,other,compilation,compilation,compilation,compilation,other,False
logchunks__jwilm__alacritty__564267025,logchunks,contested,dependency,compilation,compilation,compilation,dependency,dependency,False
python__cpython__34801219149,github-actions,confirmed,other,other,other,other,other,other,False
logchunks__processone__ejabberd__558529443,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__scala__scala__567119813,logchunks,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
hashicorp__terraform-provider-aws__34274218483,github-actions,confirmed,infrastructure,infrastructure,infrastructure,authentication,infrastructure,infrastructure,False
logchunks__SwiftyJSON__SwiftyJSON__364918572,logchunks,contested,other,infrastructure,infrastructure,unknown,infrastructure,other,False
logchunks__bitcoin__bitcoin__567204447,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__square__retrofit__482509524,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__ReactiveCocoa__ReactiveCocoa__551975915,logchunks,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
grafana__grafana__33189639174,github-actions,confirmed,authentication,authentication,authentication,authentication,authentication,authentication,False
logchunks__bitcoin__bitcoin__567190249,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__dkhamsing__open-source-ios-apps__561971122,logchunks,split,other,,other,infrastructure,unknown,other,False
logchunks__jlord__git-it-electron__376184199,logchunks,contested,compilation,other,other,other,other,compilation,False
logchunks__jwilm__alacritty__567130646,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__dkhamsing__open-source-ios-apps__562351363,logchunks,confirmed,other,other,other,other,unknown,other,False
logchunks__postcss__autoprefixer__462651213,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__ReactiveX__RxJava__563267830,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
python__cpython__34783075889,github-actions,confirmed,other,other,other,other,other,other,False
logchunks__Microsoft__TypeScript__566745214,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__FreeCodeCamp__freecodecamp__564664934,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__postcss__autoprefixer__524727137,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
microsoft__vscode__31843823289,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
python__cpython__34698360815,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__ReactiveX__RxJava__565378954,logchunks,contested,other,test_assertion,test_assertion,test_assertion,test_assertion,other,False
logchunks__jashkenas__coffeescript__424049621,logchunks,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
logchunks__FreeCodeCamp__freecodecamp__566612949,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__dkhamsing__open-source-ios-apps__555180400,logchunks,confirmed,other,other,other,test_assertion,other,other,False
