sample_id,source,bucket,draft,majority,nex-agi,cohere,dots-studio,current,adjudicated
logchunks__FreeCodeCamp__freecodecamp__566312689,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__soulmachine__leetcode__172062089,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__jgm__pandoc__480326509,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__bitcoin__bitcoin__567200607,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__SwiftyJSON__SwiftyJSON__512286699,logchunks,confirmed,compilation,compilation,compilation,other,compilation,compilation,False
logchunks__vim__vim__557413766,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__ReactiveCocoa__ReactiveCocoa__522129648,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__processone__ejabberd__556990927,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__Microsoft__TypeScript__566234931,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__square__retrofit__456148330,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__bcit-ci__CodeIgniter__496514022,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__postcss__autoprefixer__502902139,logchunks,contested,dependency,other,dependency,other,other,dependency,False
logchunks__dkhamsing__open-source-ios-apps__562459124,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__jwilm__alacritty__564272806,logchunks,confirmed,dependency,dependency,dependency,dependency,dependency,dependency,False
logchunks__jgm__pandoc__483247329,logchunks,confirmed,compilation,compilation,unknown,compilation,compilation,compilation,False
logchunks__ReactiveCocoa__ReactiveCocoa__525349639,logchunks,confirmed,dependency,dependency,dependency,dependency,dependency,dependency,False
logchunks__jashkenas__coffeescript__461415014,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
python__cpython__34788896959,github-actions,contested,test_assertion,infrastructure,test_assertion,infrastructure,infrastructure,test_assertion,False
dotnet__aspire__34787419768,github-actions,confirmed,other,other,other,other,infrastructure,other,False
logchunks__FreeCodeCamp__freecodecamp__566340191,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__google__material-design-icons__96448414,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__sjdy521__Mojo-Webqq__341246416,logchunks,confirmed,infrastructure,infrastructure,test_assertion,infrastructure,infrastructure,infrastructure,False
logchunks__jwilm__alacritty__564527447,logchunks,contested,dependency,compilation,compilation,compilation,compilation,dependency,False
logchunks__mhinz__vim-galore__403259414,logchunks,confirmed,other,other,other,other,other,other,False
microsoft__TypeScript__34290086503,github-actions,confirmed,other,other,other,other,other,other,False
logchunks__ReactiveX__RxJava__561008032,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
python__cpython__34098372849,github-actions,confirmed,other,other,other,other,other,other,False
python__cpython__34756422579,github-actions,confirmed,infrastructure,infrastructure,unknown,infrastructure,infrastructure,infrastructure,False
logchunks__mhinz__vim-galore__430784580,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__postcss__autoprefixer__468714887,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__powershell__PowerShell__535987243,logchunks,confirmed,dependency,dependency,dependency,dependency,dependency,dependency,False
microsoft__vscode__31971380461,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__postcss__autoprefixer__460085832,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__sjdy521__Mojo-Webqq__367594706,logchunks,confirmed,infrastructure,infrastructure,test_assertion,infrastructure,infrastructure,infrastructure,False
microsoft__vscode__34697884669,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__scala__scala__566866822,logchunks,contested,other,test_assertion,test_assertion,test_assertion,test_assertion,other,False
logchunks__bcit-ci__CodeIgniter__523684642,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
microsoft__vscode__31854040716,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__Microsoft__TypeScript__566591714,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__vim__vim__555378073,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
grafana__grafana__33230254939,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__vim__vim__557005417,logchunks,split,test_assertion,,test_assertion,infrastructure,unknown,test_assertion,False
grafana__grafana__33189617225,github-actions,confirmed,authentication,authentication,authentication,authentication,authentication,authentication,False
python__cpython__34778527572,github-actions,confirmed,other,other,other,other,other,other,False
python__cpython__33789566126,github-actions,contested,test_assertion,compilation,test_assertion,compilation,compilation,test_assertion,False
logchunks__vim__vim__557328684,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__scala__scala__566726054,logchunks,contested,test_assertion,compilation,compilation,compilation,compilation,test_assertion,False
grafana__grafana__33189616835,github-actions,confirmed,authentication,authentication,authentication,authentication,authentication,authentication,False
logchunks__Microsoft__TypeScript__567134594,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__square__retrofit__553410971,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
microsoft__vscode__31959446031,github-actions,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
logchunks__powershell__PowerShell__536509309,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__dkhamsing__open-source-ios-apps__562461458,logchunks,confirmed,other,other,other,test_assertion,other,other,False
logchunks__jwilm__alacritty__563821312,logchunks,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
logchunks__mhinz__vim-galore__443978045,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__bitcoin__bitcoin__567144565,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__ReactiveCocoa__ReactiveCocoa__530618863,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__jwilm__alacritty__579346432,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
grafana__grafana__33230254850,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__vim__vim__557480996,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
microsoft__vscode__31958099696,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,other,test_assertion,False
